LOCATION,SUBURB,Reason Code,Audit Date,ADDRESS,lon,lat,type,loctype,address,north,south,east,west
Reid Parade,Hastings,AB,Jan-22,"Reid Parade, Hastings, Australia",145.1884023,-38.3160137,route,geometric_center,"reid parade, hastings vic 3915, australia",-38.3144509697085,-38.3171489302915,145.1934738,145.183466
Remembrance Drive,Cardigan,AC,Nov-21,"Remembrance Drive, Cardigan, Australia",143.7415563,-37.5239704,route,geometric_center,"remembrance dr, cardigan vic 3352, australia",-37.50717119999997,-37.54240630000003,143.7873049,143.6973669
Research Warrandyte Road,Research,BC,Apr-22,"Research Warrandyte Road, Research, Australia",145.1926182,-37.7109137,route,geometric_center,"research-warrandyte rd, research vic 3095, australia",-37.70376339999998,-37.72571770000003,145.210978,145.1791197
Research-Warrandyte Road,North Warrandyte,BC,Dec-21,"Research-Warrandyte Road, North Warrandyte, Australia",145.2049713,-37.7238177,route,geometric_center,"research-warrandyte rd, north warrandyte vic 3113, australia",-37.71026169999998,-37.73536330000002,145.222481,145.1883433
Research-Warrandyte Road,Research,BC,Apr-22,"Research-Warrandyte Road, Research, Australia",145.1926182,-37.7109137,route,geometric_center,"research-warrandyte rd, research vic 3095, australia",-37.70376339999998,-37.72571770000003,145.210978,145.1791197
Reserve Road,Cheltenham,AC,May-22,"Reserve Road, Cheltenham, Australia",145.037268,-37.9637057,route,geometric_center,"reserve rd, cheltenham vic 3192, australia",-37.95587129999998,-37.97431310000002,145.0389009,145.0353025
Reservoir Road,Kennington,C,Apr-22,"Reservoir Road, Kennington, Australia",144.3141573,-36.7706688,route,geometric_center,"reservoir rd, kennington vic 3550, australia",-36.76643679999999,-36.77524310000002,144.3159664,144.3085346
Reservoir Road,Sunbury,C,Apr-22,"Reservoir Road, Sunbury, Australia",144.6883053,-37.5696805,route,geometric_center,"reservoir rd, sunbury vic 3429, australia",-37.5554965,-37.5761452,144.7164922,144.6616046
Retreat Road,Spring Gully,BCD,Apr-22,"Retreat Road, Spring Gully, Australia",144.2878687,-36.7907005,route,geometric_center,"retreat rd, spring gully vic 3550, australia",-36.78366369999998,-36.79868180000003,144.2894104802915,144.2867125197085
Reynolds Parade,Pascoe Vale South,C,Apr-22,"Reynolds Parade, Pascoe Vale South, Australia",144.9397608,-37.7418306,route,geometric_center,"reynolds parade, pascoe vale south vic 3044, australia",-37.7380944,-37.7460419,144.9408525302915,144.9381545697085
Reynolds Road,Templestowe,ABC,Apr-22,"Reynolds Road, Templestowe, Australia",145.1604691,-37.7626922,route,geometric_center,"reynolds rd, templestowe vic 3106, australia",-37.76061079999997,-37.76497200000003,145.1781254,145.1426936
Rhodes Parade,Pascoe Vale,C,Apr-22,"Rhodes Parade, Pascoe Vale, Australia",144.9282772,-37.7155897,route,geometric_center,"rhodes parade, pascoe vale vic 3044, australia",-37.7142580197085,-37.71695598029149,144.9336151,144.9240357
Riddell Road,Sunbury,AC,Apr-22,"Riddell Road, Sunbury, Australia",144.6878999,-37.5314656,route,geometric_center,"riddell rd, sunbury vic 3429, australia",-37.48280839999997,-37.57561620000003,144.728727,144.6767871
Riggall Street,Dallas,C,Apr-22,"Riggall Street, Dallas, Australia",144.9298194,-37.6760213,route,geometric_center,"riggall st, dallas vic 3047, australia",-37.6747792197085,-37.6774771802915,144.9375377,144.9238496
Rippon Road,Hamilton,BC,Apr-22,"Rippon Road, Hamilton, Australia",142.0391208,-37.7458438,route,geometric_center,"rippon rd, hamilton vic 3300, australia",-37.7313902,-37.75906860000001,142.0453787,142.0347834
River Drive,Tarwin Lower,C,T,"River Drive, Tarwin Lower, Australia",145.86712,-38.6989454,route,geometric_center,"river dr, tarwin lower vic 3956, australia",-38.6950973,-38.7027328,145.8718643,145.860714
River Road,Murchison,C,Apr-22,"River Road, Murchison, Australia",145.224593,-36.5967507,route,geometric_center,"river rd, murchison vic 3610, australia",-36.59035159999996,-36.61584210000002,145.2398934,145.2151776
Riverine Street,Bairnsdale,C,Sep-21,"Riverine Street, Bairnsdale, Australia",147.6272323,-37.822562,route,geometric_center,"riverine st, bairnsdale vic 3875, australia",-37.8187004,-37.8254316,147.6361134,147.6194699
Riverview Drive,Kialla,BC,Apr-22,"Riverview Drive, Kialla, Australia",145.3781822,-36.4069457,route,geometric_center,"riverview dr, kialla vic 3631, australia",-36.398727,-36.4117124,145.3938737,145.3668963
Robertson Drive,Mornington,BCD,Jan-22,"Robertson Drive, Mornington, Australia",145.0579687,-38.2258159,route,geometric_center,"robertson dr, mornington vic 3931, australia",-38.2222533,-38.2267721,145.0638091,145.0527829
Robinsons Road,Frankston,ABC,Jan-22,"Robinsons Road, Frankston, Australia",145.1516996,-38.175427,route,geometric_center,"robinsons rd, frankston vic 3199, australia",-38.17372939999997,-38.17720920000003,145.1631163,145.1392515
Robinsons Road,Pearcedale,B,Mar-22,"Robinsons Road, Pearcedale, Australia",145.2242473,-38.1855809,route,geometric_center,"robinsons rd, pearcedale vic 3912, australia",-38.18204909999997,-38.18933560000002,145.2564292,145.2028813
Robinvale-Sea Lake Road,Robinvale,BC,Oct-21,"Robinvale-Sea Lake Road, Robinvale, Australia",142.7715913,-34.6015379,route,geometric_center,"robinvale-sea lake rd, robinvale vic 3549, australia",-34.5989826197085,-34.6016805802915,142.7733082302915,142.7706102697085
Rockbank Middle Road,Caroline Springs,C,May-22,"Rockbank Middle Road, Caroline Springs, Australia",144.7388423,-37.7442197,route,geometric_center,"rockbank middle rd, caroline springs vic 3023, australia",-37.74304159999998,-37.74713740000003,144.7511245,144.7244203
Rohs Road,East Bendigo,BCD,Apr-22,"Rohs Road, East Bendigo, Australia",144.3158984,-36.7378385,route,geometric_center,"rohs rd, east bendigo vic 3550, australia",-36.7269811,-36.7481951,144.3180254,144.3105131
Rosebank Avenue,Ringwood North,BC,Jul-21,"Rosebank Avenue, Ringwood North, Australia",145.2325907,-37.7981249,route,geometric_center,"rosebank ave, ringwood north vic 3134, australia",-37.7967422197085,-37.7994401802915,145.2348976,145.2300638
Rosedale-Heyfield Road,Winnindoo,ABC,Jan-22,"Rosedale-Heyfield Road, Winnindoo, Australia",146.7708509,-38.0761837,route,geometric_center,"rosedale-heyfield rd, winnindoo vic 3858, australia",-38.02853399999997,-38.12655730000002,146.7842841,146.7657167
